"backend_id","booth_number","svg_id_to_store","required_svg_element_id"
"392","8K-11","8K-11","8K-11"
"393","8K-12","8K-12","8K-12"
"394","8K-13","8K-13","8K-13"
"395","8K-14","8K-14","8K-14"
"396","8K-15","8K-15","8K-15"
"397","8K-16","8K-16","8K-16"
"398","8K-17","8K-17","8K-17"
"399","8K-18","8K-18","8K-18"
"400","8L-01","8L-01","8L-01"
"401","8L-02","8L-02","8L-02"
"402","8L-03","8L-03","8L-03"
"403","8L-04","8L-04","8L-04"
"404","8L-05","8L-05","8L-05"
"405","8L-06","8L-06","8L-06"
"406","8L-07","8L-07","8L-07"
"407","8L-08","8L-08","8L-08"
"408","8L-09","8L-09","8L-09"
"409","8L-10","8L-10","8L-10"
"410","8L-11","8L-11","8L-11"
"411","8L-12","8L-12","8L-12"
"412","8L-13","8L-13","8L-13"
"413","8L-14","8L-14","8L-14"
"414","8L-15","8L-15","8L-15"
"415","8L-16","8L-16","8L-16"
"416","8L-17","8L-17","8L-17"
"417","8L-18","8L-18","8L-18"
"418","8L-19","8L-19","8L-19"
"419","8L-20","8L-20","8L-20"
"420","8L-21","8L-21","8L-21"
"421","8L-22","8L-22","8L-22"
"422","8M-01","8M-01","8M-01"
"423","8M-02","8M-02","8M-02"
"424","8M-03","8M-03","8M-03"
"425","8M-04","8M-04","8M-04"
"426","8M-05","8M-05","8M-05"
"427","8M-06","8M-06","8M-06"
"428","8M-07","8M-07","8M-07"
"429","8M-08","8M-08","8M-08"
"430","8M-09","8M-09","8M-09"
"431","8M-10","8M-10","8M-10"
"432","8M-11","8M-11","8M-11"
"433","8M-12","8M-12","8M-12"
"434","8M-13","8M-13","8M-13"
"435","8M-14","8M-14","8M-14"
"436","8M-15","8M-15","8M-15"
"437","8M-16","8M-16","8M-16"
"438","8M-17","8M-17","8M-17"
"439","8M-18","8M-18","8M-18"
"440","8M-19","8M-19","8M-19"
"441","8M-20","8M-20","8M-20"
"442","8M-21","8M-21","8M-21"
"443","8M-22","8M-22","8M-22"
"444","8N-01","8N-01","8N-01"
"445","8N-02","8N-02","8N-02"
"446","8N-03","8N-03","8N-03"
"447","8N-04","8N-04","8N-04"
"448","8N-05","8N-05","8N-05"
"449","8N-06","8N-06","8N-06"
"450","8N-07","8N-07","8N-07"
"451","8N-08","8N-08","8N-08"
"452","8N-09","8N-09","8N-09"
"453","8N-10","8N-10","8N-10"
"454","8N-11","8N-11","8N-11"
"455","8N-12","8N-12","8N-12"
"456","8N-13","8N-13","8N-13"
"457","8N-14","8N-14","8N-14"
"458","8N-15","8N-15","8N-15"
"459","8N-16","8N-16","8N-16"
"460","8N-17","8N-17","8N-17"
"461","8N-18","8N-18","8N-18"
